event	weight	X(3872)_re	X(3872)_im	X(3915)(0-)_re	X(3915)(0-)_im	chi(c2)(3930)_re	chi(c2)(3930)_im	X(3940)(1.)_re	X(3940)(1.)_im	X(3993)_re	X(3993)_im	Psi(4040)_re	Psi(4040)_im	X(4300)_re	X(4300)_im	NR(0-)SPp_re	NR(0-)SPp_im	NR(1.)PSp_re	NR(1.)PSp_im	NR(0-)SPm_re	NR(0-)SPm_im	NR(1-)PPm_re	NR(1-)PPm_im	X0(2900)_re	X0(2900)_im	X1(2900)_re	X1(2900)_im	total_re	total_im
21	4.49557291172113	-0.0856687143950977	-0.23802010592324646	-0.14270079771783795	-0.2931955798344869	-0.018894225121008596	0.03927392789585383	-0.0998922802022179	0.08129309483983778	-0.23396341771292464	-0.4612116930862171	0.03717390824180611	0.03236567831798957	-0.0007626978674177062	0.00035378003122636995	-0.1565534801277617	-0.13500794426307097	-0.21231564074748374	-0.01093070895084851	0.08317328300458822	0.00045886107696672067	0.027235971478428662	0.07011157125246247	0.017673844917191504	0.0017751006914373188	-0.0019104551886445212	-0.01526185799424276	-0.7874047014383799	-0.9279958759463388
22	3.6607172295928616	-0.0009824701416500659	0.23253812497145526	0.005683193050059787	-0.11594402240267629	-0.005612234761570989	0.011927490034912693	0.06516575237768657	0.09169140267432077	-0.19567988450620133	-0.008904170234240533	0.012947178092533694	-0.0015751103048341894	0.034782330739761176	0.016442268359909605	-0.2847623927893191	-0.03853728050042328	0.25920521000220575	0.013344738518098349	0.09529568759709345	0.0005257395194881782	-0.018866867495297243	-0.04856759839666335	-0.10254317481368999	-0.0382288034930758	-0.08156912771832	0.1286139877523807	-0.2169368003667083	0.24332676649865212
23	3.8402107881750265	-0.00115996950901881	-0.200379574195144	0.013730828842138472	-0.07622977041991248	-0.002829521605748562	0.0053634515314069636	-0.04539748298324617	-0.07693464691530566	0.139411498370343	0.01832778920360697	-0.003684522605218499	-6.640122536948516e-5	0.10744767821506432	-0.057666561246522655	-0.31482069585716654	0.09584103683264297	-0.34699747255342106	-0.017864573546291795	0.09449640062034848	0.0005213299101796885	0.010296712907636294	0.026506075660332643	0.06504427522394478	0.005123198534624886	-0.009019709578475171	0.14810253510450658	-0.2934819805128195	-0.12935611077124545
24	3.600890230385628	0.08034964234475661	-0.1263827771824371	-0.0020900463247157217	0.021697480196760335	-0.013790066772372378	0.02840326683171815	-0.010852988613106622	-0.11737434595037008	-0.004793582879007592	-0.010974379652587914	0.03561772339116732	-0.0021278274595155954	-0.07488808887004259	-0.06006904891427793	0.06483035940655446	0.00020451733066662324	0.23010436371944148	0.011846531038798229	-0.02057430994199354	-0.00011350700221018654	-0.06619798063421285	-0.17040862447960364	-0.0042938852928790456	-0.0016860541517678092	-0.0012498974544188721	-0.019958152027048932	0.21217124207917068	-0.4469429214218758
25	3.9157511637148295	0.06089049251624361	-0.03853398820912538	0.0024483848136957658	-0.01762047082396039	-0.016618280104846915	0.03295342400156935	0.008484801357353557	-0.06497073928497066	-0.044882020850162165	-0.012430332006343029	0.033645919672327454	-0.0005485644044444972	-0.037308289394181064	-0.12886691674149947	-0.06250124670332056	0.008616817840395787	0.284025912678463	0.014622590097730172	0.019104579094485416	0.00010539860182996363	-0.07722115042665638	-0.1987847650165038	-0.03192484804916868	-0.010398816308061578	-0.02071546723414185	0.01608471898538656	0.11742878737009117	-0.39977164326799697
26	3.6665646328202	0.11652869980950821	-0.18050290619309756	-0.0030280786986763963	-0.062118753179489665	-0.016818796439124928	0.036844202628495346	-0.04180831183427832	-0.18528391324233962	-0.015454162934523698	-0.01986467911130086	-0.1009219452311054	0.03426959236013532	-0.03280935578651618	-0.014702568370751193	-0.10287919712287995	-0.03657094067399399	0.2228335755121938	0.011472206898302103	0.03880847996530887	0.0002141036192035449	0.0874784533715245	0.22518939048935677	0.06135866041382942	0.0040239145351222555	-0.013934784791400935	-0.004916592181913091	0.19935323623385903	-0.19194694242227062
27	3.2839233118698963	0.0019246672375869828	-0.34861251732329424	0.04573279736908087	0.199201978172041	-0.021427670259369896	0.04583207996974907	-0.1816012839092835	-0.1240841069100797	0.5445956089302757	-0.4060428544567205	0.014583190991296503	-0.10098513298802826	-0.012156355442784332	-0.0036952051756961165	0.18007702275767995	0.11502232775666331	-0.19331517603599405	-0.009952502404402057	-0.08194351426253314	-0.00045207653042707914	-0.03478229812435753	-0.08953752852920004	0.11863077354873285	0.4381502863145841	0.35303739731396094	-0.18160987831242842	0.7333551601142915	-0.46676513041723894
28	3.300180388494004	-0.022429902999924305	0.010723907467445937	0.0029377030858781087	-0.009864626777316605	0.013138039001684584	-0.021040597848399088	-0.006025819605269997	0.021051352788665583	0.015851610402677196	0.005194299226597918	0.022840153204107143	0.0020647229209301526	-0.010726938513697045	-0.0020363804106836216	-0.048063245944923574	0.06227475731819682	-0.1846947184345983	-0.009508692835157673	0.018365816936891648	0.00010132290363686677	-0.1089237193284556	-0.280394371642984	-0.024684543558357735	-0.037576916943808436	-0.015655892148212905	-0.03216499316873617	-0.3480714579022008	-0.2911762170016123
29	3.2680207645865806	0.13827363951120653	-0.1480878391773294	0.003962877340409555	0.02551111307579559	0.02392367010427728	-0.05203468395604535	-0.059342030900279695	-0.20993422661047278	-0.12760836676021198	0.003911144201596474	-0.20413875080795468	0.22412563860878743	-0.020801572855396657	-0.00870093968051408	0.028877091705286153	0.015551264676100645	0.24701707923223187	0.012717253375541585	-0.012268292665767882	-6.768329662839719e-5	0.12995456502680441	0.33453254100650964	0.04931325188644191	-0.006696320295311607	-0.05577581877075866	-0.002169188547443985	0.14138734204628817	0.18865807338058574
30	3.257752608287601	0.04154272781754377	-0.060880500133578166	0.001365529141990601	-0.005472708811035569	-0.012040411974314344	0.020796823171591258	0.0017560046661528363	-0.05567359433193991	-0.004534189492692323	-0.005302624330042301	-0.02050283885454188	-0.0013174941323514666	0.03768261144635441	0.0031238977191285454	-0.027069597563039356	0.019556802728650853	0.2034212420802197	0.010472795992658546	0.008585679798748358	4.736658379503621e-5	0.07884582484806688	0.20296704566505686	0.06496887288717194	-0.013571622614055359	0.0924772498005717	0.1531787528814212	0.4664987046022323	0.26792494038929954
